Node	OutDegree
100319	1.0
100320	2.0
100321	1.0
100322	1.0
100	1.0
100323	1.0
100	1.0
100324	1.0
100325	1.0
100327	1.0
100328	1.0
100329	1.0
100330	1.0
100	3.0
100331	1.0
100332	1.0
10033	1.0
100	1.0
100335	1.0
10033	1.0
100337	1.0
100339	1.0
100340	1.0
100341	2.0
100342	1.0
100	1.0
100343	2.0
10034	1.0
100	2.0
100345	2.0
100347	1.0
100349	1.0
100	2.0
100350	1.0
100351	1.0
100	3.0
100352	2.5
10035	1.0
100354	3.0
100356	1.0
100357	1.0
100	1.0
100359	1.0
100360	1.0
100361	2.0
10036	1.0
100362	1.0
10036	1.0
100363	2.0
10036	1.0
100365	2.0
100367	1.0
100369	1.0
100370	2.0
10037	1.0
100371	1.0
100372	1.5
100376	1.0
100378	3.0
100382	1.0
10038	2.3333333333333335
100383	1.0
100384	1.0
10038	2.5
100387	1.0
100	2.0
100388	1.0
100389	2.0
100391	1.0
100396	1.0
100398	1.0
100399	1.0
100400	1.0
100401	2.0
100403	1.0
100404	1.0
100405	2.5
100406	2.0
100407	2.0
100408	1.0
100409	1.0
100411	1.0
100413	2.0
10041	1.0
100415	1.0
100416	2.0
100418	1.0
100420	1.0
100421	2.0
100422	1.0
100423	3.0
100424	1.0
100425	3.5
100426	2.0
100429	2.0
100431	3.0
100433	1.75
100434	1.0
10043	1.0
100437	1.0
100438	2.0
100439	1.0
100440	1.0
100441	1.0
100442	1.0
100443	2.0
100444	1.0
100445	1.0
100448	2.0
100450	2.0
100452	1.0
10045	1.0
100453	1.0
100454	1.0
10045	1.0
100455	1.3333333333333333
100457	1.0
100459	1.0
100460	1.0
100461	1.0
100462	1.0
100463	1.0
100465	1.0
100466	1.0
100468	1.0
100469	1.0
100470	1.0
100473	2.0
10047	1.0
100475	2.0
100477	1.0
100479	1.0
100481	2.0
10048	2.0
100483	1.0
100484	3.0
100487	2.0
100489	1.0
100491	1.0
100493	4.0
100494	1.0
10049	1.0
100495	1.0
100496	1.0
100497	1.0
100499	1.0
100500	1.0
100501	1.0
100502	1.0
100503	1.0
100505	2.0
100506	1.0
100507	1.0
100509	1.0
100512	1.0
100513	1.0
10051	1.0
100515	1.0
100517	1.0
100518	1.0
100519	2.0
100520	1.0
10052	1.0
100522	1.0
100524	1.0
10052	2.0
100525	2.0
100526	1.0
100530	1.0
100531	1.0
1005	1.0
100532	1.0
100533	1.0
100534	2.0
100536	1.0
100537	1.0
100540	1.0
100542	1.0
10054	1.0
100545	1.0
100547	1.0
100550	2.0
100551	1.0
100552	1.5
100553	1.0
100555	1.5
100557	1.0
100559	1.0
100560	1.0
100561	1.0
100562	1.3333333333333333
100564	1.0
10056	2.0
100565	1.0
100566	2.5
100567	1.0
100568	1.0
100570	1.0
100571	2.3333333333333335
100572	1.0
100573	1.0
100574	1.0
100576	3.0
